step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
12500,P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,3,0.005582062837978204,0.1350549360116323,0.49183013041814166,0.024005858848492306,0.019087557370464008
12500,P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,3,0.0038262036008139453,0.09266448765993118,0.3143772880236308,0.016236425066987675,0.013092652584115664
12500,P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,3,0.0030196214405198893,0.07368371138970058,0.21728427708148956,0.012560835108160973,0.01038799217591683
12500,P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,13,3,0.0023593202543755374,0.057298414409160614,0.12700742979844412,0.009359235875308514,0.008089161788423857
12500,P4084,0,n01440764/ILSVRC2012_val_00045866_n01440764,19,3,0.002184163856630524,0.052742154647906624,0.09793575604756673,0.008437737201650938,0.007458379492163658
12500,P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,3,0.008823778790732225,0.16336878637472788,0.5020770132541656,0.030181427175800007,0.0251606572419405
12500,P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,3,0.007272369383523862,0.1278782288233439,0.32730211814244586,0.02333321360250314,0.020060192172725994
12500,P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,3,0.006383946320662896,0.10754318038622539,0.2297225147485733,0.01943548892935117,0.01713826445241769
12500,P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,13,3,0.005621256306767464,0.08956861992677052,0.1359490603208542,0.01593760959804058,0.014578118920326233
12500,P4084,1,n01443537/ILSVRC2012_val_00044095_n01443537,19,3,0.005412610402951638,0.08609186857938766,0.10663112998008728,0.015088108368217945,0.014021797105669975
12500,P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,3,0.00415214888441066,0.10715957979361217,0.4334169030189514,0.019202275822559994,0.01486810731391112
12500,P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,3,0.0025879709670941034,0.07313736776510875,0.2642146944999695,0.012543854924539724,0.009901707991957664
12500,P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,3,0.001867211889475584,0.055668252209822335,0.1753256469964981,0.009187293549378714,0.0074340372035900755
12500,P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,13,3,0.001308418926782906,0.04134959479173025,0.0966699297229449,0.0064100778351227445,0.00544337850684921
12500,P4084,2,n01484850/ILSVRC2012_val_00029481_n01484850,19,3,0.001183850031035642,0.03857322161396345,0.07044628262519836,0.005745635212709506,0.005041172417501609
12500,P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,3,0.0017179424564043682,0.09449801594018936,0.40045080582300824,0.01517225212107102,0.011167744174599648
12500,P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,3,0.0010740294043595593,0.05941777676343918,0.23352239529291788,0.00935103123386701,0.0070158070884644985
12500,P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,3,0.0007814347239521643,0.044876926889022194,0.1470668613910675,0.0067397961392998695,0.005269127587477366
12500,P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,13,3,0.0005431310855783522,0.033899358163277306,0.07400197287400563,0.004673086727658908,0.003933066967874765
12500,P4084,3,n01491361/ILSVRC2012_val_00049000_n01491361,19,3,0.0004933633996794621,0.030740756541490555,0.05161196241776148,0.004083558761825164,0.0035674391159166894
12500,P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,3,0.004512645148982604,0.10642835001150767,0.4480444888273875,0.01963592569033305,0.015155480553706488
12500,P4084,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,3,0.0031409289222210646,0.07318987449010213,0.27450525760650635,0.013204969155291716,0.010459916355709234
