method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,mean_energy_per_use,constraint,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,1,2048,4091.544,3936.0,4011.2,4169.6,4232.0,1.99782421875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,4,2048,4091.544,3936.0,4011.2,4169.6,4232.0,1.99782421875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,7,2048,4091.544,3936.0,4011.2,4169.6,4232.0,1.99782421875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,13,2048,4091.544,3936.0,4011.2,4169.6,4232.0,1.99782421875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,19,2048,4091.544,3936.0,4011.2,4169.6,4232.0,1.99782421875,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,1,2048,4094.5456000000004,3822.4,3984.0,4209.68,4324.8,1.9992898437500002,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,4,2048,4094.5456000000004,3822.4,3984.0,4209.68,4324.8,1.9992898437500002,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,7,2048,4094.5456000000004,3822.4,3984.0,4209.68,4324.8,1.9992898437500002,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,13,2048,4094.5456000000004,3822.4,3984.0,4209.68,4324.8,1.9992898437500002,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,19,2048,4094.5456000000004,3822.4,3984.0,4209.68,4324.8,1.9992898437500002,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,1,2048,4095.6256000000003,3908.8,3996.72,4190.4,4308.8,1.9998171875000001,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,4,2048,4095.6256000000003,3908.8,3996.72,4190.4,4308.8,1.9998171875000001,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,7,2048,4095.6256000000003,3908.8,3996.72,4190.4,4308.8,1.9998171875000001,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,13,2048,4095.6256000000003,3908.8,3996.72,4190.4,4308.8,1.9998171875000001,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
