family,N,snr_db,method,calibration_utility
arithmetic,2048,1,token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,0.05853379178703875
arithmetic,2048,4,token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,0.04018033015457498
arithmetic,2048,7,token-efficiency-digital-v1/arithmetic/16QAM/N2048/m8,0.028666241421015138
arithmetic,2048,13,token-efficiency-digital-v1/arithmetic/16QAM/N2048/m9,0.020762635307124157
arithmetic,2048,19,token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,0.015865896597488115
arithmetic,3060,1,token-efficiency-digital-v1/arithmetic/16QAM/N3060/m6,0.05263564875022457
arithmetic,3060,4,token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,0.03249277371784553
arithmetic,3060,7,token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,0.022214790661821967
arithmetic,3060,13,token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,0.015865896598388395
arithmetic,3060,19,token-efficiency-digital-v1/arithmetic/16QAM/N3060/m10,0.015865896597488115
arithmetic,4084,1,token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,0.040977884392398724
arithmetic,4084,4,token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,0.028233083074339846
arithmetic,4084,7,token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,0.0207626353021571
arithmetic,4084,13,token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,0.015865896598388395
arithmetic,4084,19,token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,0.015865896597488115
raw,2048,1,token-efficiency-digital-v1/raw/16QAM/N2048/m6,0.055297206195923106
raw,2048,4,token-efficiency-digital-v1/raw/16QAM/N2048/m7,0.039174170712373335
raw,2048,7,token-efficiency-digital-v1/raw/16QAM/N2048/m8,0.02826513463358642
raw,2048,13,token-efficiency-digital-v1/raw/16QAM/N2048/m9,0.020762680133396515
raw,2048,19,token-efficiency-digital-v1/raw/16QAM/N2048/m9,0.020762635309297246
raw,3060,1,token-efficiency-digital-v1/raw/16QAM/N3060/m7,0.04528724651170982
raw,3060,4,token-efficiency-digital-v1/raw/16QAM/N3060/m8,0.02904780666820267
raw,3060,7,token-efficiency-digital-v1/raw/16QAM/N3060/m9,0.021267914882287884
raw,3060,13,token-efficiency-digital-v1/raw/16QAM/N3060/m10,0.01586602211947467
raw,3060,19,token-efficiency-digital-v1/raw/16QAM/N3060/m10,0.015865896597488115
raw,4084,1,token-efficiency-digital-v1/raw/16QAM/N4084/m7,0.03917129320214525
raw,4084,4,token-efficiency-digital-v1/raw/16QAM/N4084/m8,0.028137466730516595
raw,4084,7,token-efficiency-digital-v1/raw/16QAM/N4084/m10,0.01919289617736065
raw,4084,13,token-efficiency-digital-v1/raw/16QAM/N4084/m10,0.015865896598388395
raw,4084,19,token-efficiency-digital-v1/raw/16QAM/N4084/m10,0.015865896597488115
