method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,energy_constraint,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,1,2048,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,4,2048,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,7,2048,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,13,2048,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,19,2048,4097.92,3934.3999999999996,4020.72,4181.12,4224.0,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,1,2048,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,4,2048,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,7,2048,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,13,2048,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,19,2048,4108.72,3921.5999999999995,3975.52,4219.36,4244.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,1,2048,4100.192,3969.6000000000004,3989.9199999999996,4185.68,4230.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
