method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,1,20,177.9910761571955,182.894431008026,360.8855071652215,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,4,20,177.70257839583792,182.47262330842204,360.17520170425996,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,7,20,177.8572863084264,182.8746113635134,360.7318976719398,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,13,20,178.9423433074262,182.5906097656116,361.5329530730378,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m10,19,20,178.2400844444055,182.74469568859786,360.98478013300337,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,1,20,175.36194793647155,133.2212056440767,308.58315358054824,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,4,20,175.5250027112197,133.64641206571832,309.17141477693804,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,7,20,174.93662194465287,132.2708644962404,307.20748644089326,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,13,20,175.61217569164,132.94410356902517,308.5562792606652,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m6,19,20,175.2562370907981,133.59956372878514,308.85580081958324,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N2048/m7,1,20,173.84400001028553,138.750388356857,312.5943883671425,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
