snr_db,target,family,mcs,energy_constraint,continuous_N_required,digital_N_required,saving,status,strict_per_frame_equal_energy_protocol,interpolation_used,table_sha256
1,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
1,high,raw,16QAM,fixed_constellation_average_2_per_symbol,,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
1,balanced,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
1,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
1,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
1,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,high,raw,16QAM,fixed_constellation_average_2_per_symbol,,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,balanced,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
4,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,4084,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,high,raw,16QAM,fixed_constellation_average_2_per_symbol,4084,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,balanced,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,balanced,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,coarse,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
7,coarse,raw,16QAM,fixed_constellation_average_2_per_symbol,2048,2048,0.0,MEASURED_GRID_TARGET_MET,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
13,high,arithmetic,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
13,high,raw,16QAM,fixed_constellation_average_2_per_symbol,3060,,,NOT_REACHED_IN_MEASURED_GRID,False,False,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
