method,population,snr_db,sources,noise_seeds,run_id,context_sha256,family,N,mcs,energy_constraint,noise_namespace,mse,psnr_db,lpips_alex,dino_cosine,E_mean,E_min,E_p05,E_p95,E_max,table_sha256
token-efficiency-digital-v1/raw/16QAM/N2048/m6,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.024119542342490377,16.997869758605958,0.2869202957674861,0.7771666709582011,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m6,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.02319420795294406,17.17391519546509,0.2783039801071087,0.7866010737419128,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m6,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.02319420795294406,17.173915163675943,0.2783039798215032,0.7866010731458668,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m6,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.02319420795294406,17.173915100097656,0.2783039794365565,0.7866010719537735,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m6,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.02319420795294406,17.173915100097656,0.27830397989600897,0.7866010719537735,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m7,development,1,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.05074810739374017,13.638326878547668,0.46953899949789046,0.43324366776583106,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m7,development,4,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.016470033260737177,18.691810805002845,0.21994971426824736,0.8399400599797567,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m7,development,7,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.016264288367019465,18.753152449925743,0.21840494556973383,0.8414670560757314,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m7,development,13,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.016264288367019465,18.753152437210083,0.2184049447377523,0.8414670711755753,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
token-efficiency-digital-v1/raw/16QAM/N2048/m7,development,19,100,3,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,raw,2048,16QAM,fixed_constellation_average_2_per_symbol,token-efficiency-digital-v1/raw/16QAM/N2048,0.016264288367019465,18.753152437210083,0.2184049450606108,0.8414670711755753,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,1f17642b77f8cdd31a97ffa2639d748be63f5f6de30c5cda50be69d4d8486102
