method,source_id,preprocessing_id,snr_db,noise_seed,repeat,N,E,context_sha256,run_id,quality_max_abs_error,timing_endpoints,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1,2001,0,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.868120891042054,119.98608498834074,129.8542058793828
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1,2001,1,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.825263055972755,118.1322589982301,127.95752205420285
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,4,2001,0,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.867973043583333,118.36764600593597,128.2356190495193
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,4,2001,1,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.865990956313908,117.67027294263244,127.53626389894634
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,7,2001,0,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.9938620114699,117.91886400897056,127.91272602044046
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,7,2001,1,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.96912899427116,118.73773403931409,128.70686303358525
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,13,2001,0,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.985593031160533,118.07597207371145,128.061565104872
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,13,2001,1,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.96588496491313,118.12374892178923,128.08963388670236
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,19,2001,0,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.93035698775202,118.21866396348923,128.14902095124125
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,19,2001,1,2048,4110.4,aa28acf3e80bb578a83dc11b1d880811e3eecd9c7261051f23b62a936ee252c4,TOKEN-CHANNEL-EFFICIENCY-20260923/digital_grid_v1/16QAM/development,0.0,CPU uint8 RGB -> CPU waveform; CPU observation -> CPU float RGB; noise outside RX,9.936845046468079,118.26758994720876,128.20443499367684
