method,source_id,repeat,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,9.99334896914661,119.6621700655669,129.6555190347135
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,9.83526895288378,118.43953595962375,128.27480491250753
token-efficiency-digital-v1/raw/16QAM/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,9.859628975391388,119.48191898409277,129.34154795948416
token-efficiency-digital-v1/raw/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.378208011388779,118.65945206955075,129.03766008093953
token-efficiency-digital-v1/raw/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.225110920146108,118.29455604311079,128.5196669632569
token-efficiency-digital-v1/raw/16QAM/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.220663039945066,118.41323599219322,128.6338990321383
token-efficiency-digital-v1/raw/16QAM/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.944333975203335,118.63636795897037,129.5807019341737
token-efficiency-digital-v1/raw/16QAM/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.814858949743211,118.67458501365036,129.48944396339357
token-efficiency-digital-v1/raw/16QAM/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.887301992624998,118.35303402040154,129.24033601302654
token-efficiency-digital-v1/raw/16QAM/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,11.908699991181493,119.11998095456511,131.0286809457466
token-efficiency-digital-v1/raw/16QAM/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,1,11.780139990150928,118.95598797127604,130.73612796142697
token-efficiency-digital-v1/raw/16QAM/N2048/m9,n01440764/ILSVRC2012_val_00003014_n01440764,2,11.748402030207217,119.68189699109644,131.43029902130365
token-efficiency-digital-v1/raw/16QAM/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.05185698159039,118.9538820181042,129.0057389996946
token-efficiency-digital-v1/raw/16QAM/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,9.865288971923292,118.74445003923029,128.60973901115358
token-efficiency-digital-v1/raw/16QAM/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,9.827367961406708,118.46816202159971,128.29552998300642
token-efficiency-digital-v1/raw/16QAM/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.411518975161016,119.05003490392119,129.4615538790822
token-efficiency-digital-v1/raw/16QAM/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.29495697002858,119.14636101573706,129.44131798576564
token-efficiency-digital-v1/raw/16QAM/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.60348202008754,119.76614699233323,130.36962901242077
