method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,1,20,172.3369182436727,148.49053337820806,320.82745162188075,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,4,20,172.4446431035176,148.41932484996505,320.86396795348264,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,7,20,172.55612454609945,148.16504472400993,320.7211692701094,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,13,20,172.68444787478074,148.73178774723783,321.4162356220186,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m10,19,20,173.52023411658593,148.19036868866533,321.71060280525126,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,1,20,174.73757784464397,131.7583211523015,306.49589899694547,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,4,20,174.83082080143504,131.74295350909233,306.57377431052737,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,7,20,174.63024595635943,131.7107719136402,306.34101786999963,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,13,20,174.7363500413485,131.75060646026395,306.48695650161244,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m6,19,20,175.09835172095336,131.97904645930976,307.0773981802631,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,1,20,173.3126053470187,137.88042407832108,311.1930294253398,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,4,20,173.82943529519252,137.8518424287904,311.68127772398293,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,7,20,173.6742187757045,138.10271978145465,311.77693855715916,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,13,20,174.87826155265793,138.16997784306295,313.0482393957209,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m7,19,20,174.09302539308555,139.0740976552479,313.16712304833345,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,1,20,172.53431379212998,147.21557589364238,319.74988968577236,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,4,20,173.05965624400415,147.00248009175994,320.0621363357641,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,7,20,172.73679165518843,147.15849060448818,319.8952822596766,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,13,20,172.73366619483568,147.14453314663842,319.8781993414741,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
