snr_db,target,family,mcs,energy_constraint,continuous_N_required,digital_N_required,saving,status,strict_per_frame_equal_energy_protocol,interpolation_used,table_sha256
1,high,arithmetic,QPSK,per_frame_2N,,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
1,high,raw,QPSK,per_frame_2N,,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
1,balanced,arithmetic,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
1,balanced,raw,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
1,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
1,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,high,arithmetic,QPSK,per_frame_2N,,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,high,raw,QPSK,per_frame_2N,,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,balanced,arithmetic,QPSK,per_frame_2N,2048,4084,-0.994140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,balanced,raw,QPSK,per_frame_2N,2048,4084,-0.994140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
4,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,high,arithmetic,QPSK,per_frame_2N,4084,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,high,raw,QPSK,per_frame_2N,4084,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,balanced,arithmetic,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
7,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,high,arithmetic,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,high,raw,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,balanced,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
13,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,high,arithmetic,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,high,raw,QPSK,per_frame_2N,3060,,,NOT_REACHED_IN_MEASURED_GRID,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,balanced,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,balanced,raw,QPSK,per_frame_2N,2048,3060,-0.494140625,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,coarse,arithmetic,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
19,coarse,raw,QPSK,per_frame_2N,2048,2048,0.0,MEASURED_GRID_TARGET_MET,True,False,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
