method,source_id,repeat,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.040672961622477,117.64654901344329,127.68722197506577
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,9.806497022509575,117.25763906724751,127.06413608975708
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,9.848817018792033,117.40159406326711,127.25041108205914
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.376388090662658,117.71541100461036,128.09179909527302
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.22718008607626,117.43584892246872,127.66302900854498
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.18317905254662,117.60773393325508,127.7909129858017
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.970258968882263,118.17937798332423,129.1496369522065
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.778111987747252,142.13236002251506,152.9104720102623
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.811751009896398,117.80873208772391,128.6204830976203
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,0,9.997721994295716,118.14884305931628,128.146565053612
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,1,9.863320970907807,117.59299598634243,127.45631695725024
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01440764/ILSVRC2012_val_00003014_n01440764,2,9.863695944659412,119.47325710207224,129.33695304673165
token-efficiency-digital-v1/raw/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,0,10.421480052173138,117.90681106504053,128.32829111721367
token-efficiency-digital-v1/raw/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.291400016285479,117.58055002428591,127.87195004057139
token-efficiency-digital-v1/raw/QPSK/N3060/m7,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.265327990055084,120.1724779093638,130.4378058994189
token-efficiency-digital-v1/raw/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,0,11.005158070474863,117.99985996913165,129.0050180396065
token-efficiency-digital-v1/raw/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,1,10.873396066017449,117.76928708422929,128.64268315024674
token-efficiency-digital-v1/raw/QPSK/N3060/m8,n01440764/ILSVRC2012_val_00003014_n01440764,2,10.842239949852228,117.77869192883372,128.62093187868595
token-efficiency-digital-v1/raw/QPSK/N3060/m9,n01440764/ILSVRC2012_val_00003014_n01440764,0,12.039537075906992,118.85670002084225,130.89623709674925
