method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.010793203487992287,0.24869507551193237,0.6648060083389282,0.042310770601034164,0.035662710666656494,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.01224033534526825,0.23234225809574127,0.7060889005661011,0.042535450309515,0.03547456115484238,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.007077530957758427,0.19101369380950928,0.5404287576675415,0.031583186239004135,0.02617890015244484,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.002923249267041683,0.16562585532665253,0.44867825508117676,0.023972617462277412,0.01948583498597145,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.007168853655457497,0.17249545454978943,0.542583167552948,0.02984423004090786,0.02441839873790741,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.004639983642846346,0.1555282175540924,0.3851967751979828,0.02404477261006832,0.02019280567765236,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.013097504153847694,0.26361435651779175,0.6400631666183472,0.04585956782102585,0.03945893794298172,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.016121074557304382,0.2350294589996338,0.9391124248504639,0.049015145748853683,0.03962402045726776,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.0157571230083704,0.2974264919757843,0.8283051252365112,0.05378282070159912,0.0454997718334198,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.009207086637616158,0.17627693712711334,0.5167326927185059,0.03200210630893707,0.026834780350327492,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.01184077374637127,0.20654910802841187,1.0705866813659668,0.04320155084133148,0.032495684921741486,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4101,0.005825401283800602,0.1311776340007782,0.47632738947868347,0.02370643801987171,0.018943164497613907,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4101,0.01564948447048664,0.15494848787784576,0.5572871565818787,0.03671720251441002,0.031144332140684128,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4101,0.011218884959816933,0.1734708696603775,0.7537710666656494,0.036103684455156326,0.028565973043441772,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4101,0.012061500921845436,0.170636847615242,0.5906480550765991,0.03503166511654854,0.029125185683369637,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4101,0.011616985313594341,0.13864533603191376,0.448578804731369,0.029967306181788445,0.025481518357992172,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4102,0.008566907607018948,0.20537962019443512,0.662392258644104,0.03572879359126091,0.029104869812726974,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4102,0.011666539125144482,0.24325765669345856,0.7122609615325928,0.04311491549015045,0.03599230572581291,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4102,0.005528520792722702,0.16369283199310303,0.5356636047363281,0.027254439890384674,0.021897803992033005,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4102,0.0038218507543206215,0.16646111011505127,0.44520246982574463,0.024919986724853516,0.020467963069677353,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4102,0.006047908216714859,0.1783362179994583,0.5368566513061523,0.029250096529722214,0.02388153038918972,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4102,0.00410215649753809,0.1852150708436966,0.38091474771499634,0.026432812213897705,0.022623665630817413,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4102,0.011288700625300407,0.22588303685188293,0.6327372789382935,0.040204375982284546,0.03387700393795967,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4102,0.01858227699995041,0.2392398566007614,0.9384917616844177,0.051891177892684937,0.04250626266002655,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4102,0.016269925981760025,0.2914225161075592,0.8221580982208252,0.053633756935596466,0.045412175357341766,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4102,0.0070638349279761314,0.15598610043525696,0.5133153200149536,0.027795597910881042,0.022662445902824402,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4102,0.010473720729351044,0.2315906584262848,1.0596981048583984,0.044229768216609955,0.0336327850818634,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4102,0.008143257349729538,0.1378803849220276,0.48851603269577026,0.026816457509994507,0.021931296214461327,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4102,0.013120776042342186,0.13681478798389435,0.5615593791007996,0.03241784870624542,0.02680225484073162,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4102,0.01266891323029995,0.17712020874023438,0.7512151002883911,0.037893086671829224,0.030380934476852417,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,1,4102,0.013006913475692272,0.15446168184280396,0.5912927389144897,0.03436600789427757,0.028453081846237183,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,1,4102,0.010132957249879837,0.13328461349010468,0.4463276267051697,0.02792469598352909,0.023461420089006424,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4103,0.00878933072090149,0.21980246901512146,0.659721314907074,0.03736678883433342,0.030769577249884605,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4103,0.011542629450559616,0.2359602153301239,0.7114260792732239,0.04225291311740875,0.035138651728630066,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4103,0.008263589814305305,0.20597544312477112,0.525382399559021,0.034114960581064224,0.028861135244369507,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4103,0.002619669307023287,0.1525402069091797,0.45183897018432617,0.02239207923412323,0.017873689532279968,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4103,0.0063150543719530106,0.18381871283054352,0.5344866514205933,0.03004179149866104,0.024696925655007362,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4103,0.004355943761765957,0.14515937864780426,0.3875899910926819,0.02274778112769127,0.018871881067752838,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4103,0.010998452082276344,0.2313094437122345,0.6363844871520996,0.04049324244260788,0.034129396080970764,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4103,0.01860242336988449,0.23470711708068848,0.9398977160453796,0.05147211626172066,0.04207313805818558,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4103,0.019817905500531197,0.30558347702026367,0.8212347626686096,0.05858859792351723,0.050376251339912415,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4103,0.007671469356864691,0.16713349521160126,0.5251913070678711,0.02963673137128353,0.024384818971157074,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4103,0.011755234561860561,0.19392268359661102,1.0551581382751465,0.04169908165931702,0.03114750236272812,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,1,4103,0.007911383174359798,0.13826486468315125,0.48007434606552124,0.026538614183664322,0.021737869828939438,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,1,4103,0.011451060883700848,0.12888681888580322,0.5578081607818604,0.029917825013399124,0.024339742958545685,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,1,4103,0.012050281278789043,0.18685615062713623,0.74741530418396,0.03821004927158356,0.030735895037651062,1,not_applicable
