method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P3060,0,n01440764/ILSVRC2012_val_00045866_n01440764,1,4101,0.0072125643491744995,0.17978283762931824,0.598147988319397,0.03117232769727707,0.025190848857164383,1,not_applicable
P3060,1,n01443537/ILSVRC2012_val_00044095_n01443537,1,4101,0.010788582265377045,0.19715628027915955,0.6348657608032227,0.036852866411209106,0.03050420992076397,1,not_applicable
P3060,2,n01484850/ILSVRC2012_val_00029481_n01484850,1,4101,0.005607001483440399,0.1828157752752304,0.5362956523895264,0.02925153449177742,0.02388857863843441,1,not_applicable
P3060,3,n01491361/ILSVRC2012_val_00049000_n01491361,1,4101,0.0025516797322779894,0.12236811220645905,0.455919086933136,0.01934768259525299,0.01478849072009325,1,not_applicable
P3060,4,n01494475/ILSVRC2012_val_00027283_n01494475,1,4101,0.005797560326755047,0.14654257893562317,0.5162871479988098,0.02561469003558159,0.02045181766152382,1,not_applicable
P3060,5,n01496331/ILSVRC2012_val_00041248_n01496331,1,4101,0.0036201949696987867,0.12108676135540009,0.4185388684272766,0.019914258271455765,0.015728870406746864,1,not_applicable
P3060,6,n01498041/ILSVRC2012_val_00030470_n01498041,1,4101,0.009545926004648209,0.1911720484495163,0.6015139222145081,0.03467826917767525,0.02866313047707081,1,not_applicable
P3060,7,n01514668/ILSVRC2012_val_00016052_n01514668,1,4101,0.01350667979568243,0.17953568696975708,0.8311587572097778,0.03977183625102043,0.031460247933864594,1,not_applicable
P3060,8,n01514859/ILSVRC2012_val_00006195_n01514859,1,4101,0.013561168685555458,0.24056071043014526,0.7394834756851196,0.04501207545399666,0.037617240101099014,1,not_applicable
P3060,9,n01518878/ILSVRC2012_val_00033181_n01518878,1,4101,0.0049831317737698555,0.14234018325805664,0.5016301274299622,0.02423345111310482,0.019217150285840034,1,not_applicable
P3060,10,n01530575/ILSVRC2012_val_00027374_n01530575,1,4101,0.009819718077778816,0.16900190711021423,0.9455306529998779,0.036175213754177094,0.02671990916132927,1,not_applicable
