method,snr_db,frames,header_ok_failure_count,body_crc_ok_failure_count,source_overflow_erasure,table_sha256
P2048,1,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P2048,4,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P2048,7,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P2048,13,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P2048,19,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P3060,1,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P3060,4,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P3060,7,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P3060,13,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P3060,19,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P4084,1,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P4084,4,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P4084,7,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P4084,13,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
P4084,19,300,0,0,0,a9d07c4ee41ef89977fc81cb3c702f9dc0d45ae796cecc34eea25fc86f9d240c
