method,run_id,context_sha256,family,population,source_id,source_index,preprocessing_id,snr_db,noise_seed,noise_namespace,noise_id,header_ok,body_crc_ok,checkpoint_sha256,selected_step,waveform_sha256,observation_sha256,protocol,N,N_header,N_data,N_continuous,E,energy_constraint,m_requested,m_actual,mcs,payload_bits,source_overflow_erasure,psnr_db,lpips_alex,dino_cosine,mse
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1,2001,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2001,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,bc7371862219d5066929df016d540bf69e211aa2d7763e1764cd2116c8acdb3f,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,14.575858116149902,0.2401631474494934,0.4339355230331421,0.0348669702156608
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1,2002,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2002,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,8e75ccffb8bfea99aed5d4c17dc17a818e7db0b691733dcbf486e67392fe3323,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,14.710792541503906,0.24253474175930023,0.40017035603523254,0.033800320887205755
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1,2003,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2003,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,db0b8d182c1d7e3a9109d4600ba63968b47ecbaeb696cee140b9050af9413ea2,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,15.11466121673584,0.22668224573135376,0.6165304183959961,0.03079879945847908
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,4,2001,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2001,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,5a61e9bf96764e02a8476460bc0ad307f212d3e172d84cc556abd5aaf3745461,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,15.830728530883789,0.17491909861564636,0.5633994340896606,0.02611722953119154
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,4,2002,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2002,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,96f41d40678b58f3be5ec8c3cf016f6a9b8f04ad625bad0c457ba6513adcf8da,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,15.748418807983398,0.17612874507904053,0.5772993564605713,0.026616942919594436
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,4,2003,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2003,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,68f777161f47e64933142fe752ebd5f6a820b5ef845d79cf7fb7b98eba4c540d,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,15.910017013549805,0.17941966652870178,0.8108543157577515,0.025644741753439827
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,7,2001,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2001,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,abacb248e6e15a4af34dd8bb249a5e1277b6960b77642c62eed2d4c62aad2b36,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,16.43685531616211,0.14653344452381134,0.7860304713249207,0.022715094479164588
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,7,2002,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2002,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,e253ebc6dd38926d612d958acd9247e9ed7b3b9c1ef139236f8b72718c46a52a,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,16.408428192138672,0.1426343470811844,0.7133862972259521,0.022864257924865124
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,7,2003,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2003,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,b7502da705e76647496273de33d3d7e793128a805648b333028a897638351759,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,16.495372772216797,0.14943835139274597,0.8533084988594055,0.022411079780711097
P2048,TOKEN-CHANNEL-EFFICIENCY-20260923/continuous_grid_v1,1038ae33710418d6cb1ee9fd15641ccf09feb759bf9d988a87f1bca5c89116b5,continuous,development,n01440764/ILSVRC2012_val_00003014_n01440764,0,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,13,2001,VAR-CONTINUOUS-2048,VAR-CONTINUOUS-2048|n01440764/ILSVRC2012_val_00003014_n01440764|2001,not_applicable,not_applicable,78cb4c480c97c23a4577ee63716b5a8e5cdb9726d87e9cdacc9656ff38cd7751,30000,e7dbcdc4669cd3cce62d056c912c067ef1aaadb9fe6c4956ab34fed5e6907cda,a154055d12eec94308f9313c7e57f62e762db156cf241cb6e96f4292de44202a,VAR-CONTINUOUS-2048,2048,0,0,2048,4096.000022491275,per_frame_2N,,,continuous,,False,16.988449096679688,0.12450183182954788,0.8574491739273071,0.020005765607667373
