method,source_id,repeat,tx_ms,rx_ms,total_ms
P2048,n01440764/ILSVRC2012_val_00003014_n01440764,0,8.490356034599245,12.679553008638322,21.169909043237567
P2048,n01440764/ILSVRC2012_val_00003014_n01440764,1,8.320032036863267,12.622329988516867,20.942362025380135
P2048,n01440764/ILSVRC2012_val_00003014_n01440764,2,8.317311992868781,12.564337928779423,20.881649921648204
P3060,n01440764/ILSVRC2012_val_00003014_n01440764,0,8.363595930859447,12.523807934485376,20.887403865344822
P3060,n01440764/ILSVRC2012_val_00003014_n01440764,1,8.222106960602105,12.508591054938734,20.73069801554084
P3060,n01440764/ILSVRC2012_val_00003014_n01440764,2,8.211208041757345,12.46506196912378,20.676270010881126
P4084,n01440764/ILSVRC2012_val_00003014_n01440764,0,8.561517926864326,12.579440954141319,21.140958881005645
P4084,n01440764/ILSVRC2012_val_00003014_n01440764,1,8.242771029472351,12.371507938951254,20.614278968423605
P4084,n01440764/ILSVRC2012_val_00003014_n01440764,2,8.216931018978357,12.394958990626037,20.611890009604394
P2048,n01943899/ILSVRC2012_val_00005706_n01943899,0,8.37160600349307,12.535172048956156,20.906778052449226
P2048,n01943899/ILSVRC2012_val_00005706_n01943899,1,8.236650028266013,12.46250094845891,20.699150976724923
P2048,n01943899/ILSVRC2012_val_00005706_n01943899,2,8.192565059289336,12.509144027717412,20.701709087006748
P3060,n01943899/ILSVRC2012_val_00005706_n01943899,0,8.369726012460887,12.493134941905737,20.862860954366624
P3060,n01943899/ILSVRC2012_val_00005706_n01943899,1,8.230146951973438,12.504340964369476,20.734487916342914
P3060,n01943899/ILSVRC2012_val_00005706_n01943899,2,8.233616943471134,12.486265040934086,20.71988198440522
P4084,n01943899/ILSVRC2012_val_00005706_n01943899,0,8.396228076890111,12.449064990505576,20.845293067395687
P4084,n01943899/ILSVRC2012_val_00005706_n01943899,1,8.227476966567338,12.406462919898331,20.63393988646567
P4084,n01943899/ILSVRC2012_val_00005706_n01943899,2,8.232063031755388,12.432569987140596,20.664633018895984
P2048,n02106550/ILSVRC2012_val_00014315_n02106550,0,8.378461003303528,12.558363028801978,20.936824032105505
P2048,n02106550/ILSVRC2012_val_00014315_n02106550,1,8.224110002629459,12.5186110381037,20.74272104073316
P2048,n02106550/ILSVRC2012_val_00014315_n02106550,2,8.238944923505187,12.522414908744395,20.761359832249582
P3060,n02106550/ILSVRC2012_val_00014315_n02106550,0,8.374096942134202,12.521790922619402,20.895887864753604
P3060,n02106550/ILSVRC2012_val_00014315_n02106550,1,8.228990947827697,12.509768945164979,20.738759892992675
P3060,n02106550/ILSVRC2012_val_00014315_n02106550,2,8.219129987992346,12.507949024438858,20.727079012431204
P4084,n02106550/ILSVRC2012_val_00014315_n02106550,0,8.370941039174795,12.468553031794727,20.839494070969522
P4084,n02106550/ILSVRC2012_val_00014315_n02106550,1,8.24183295480907,12.484580976888537,20.726413931697607
P4084,n02106550/ILSVRC2012_val_00014315_n02106550,2,8.222116040997207,12.41049391683191,20.632609957829118
P2048,n02398521/ILSVRC2012_val_00018354_n02398521,0,8.348398958332837,12.52533693332225,20.873735891655087
P2048,n02398521/ILSVRC2012_val_00018354_n02398521,1,8.251028950326145,12.519581010565162,20.770609960891306
P2048,n02398521/ILSVRC2012_val_00018354_n02398521,2,8.222889038734138,12.500790995545685,20.723680034279823
P3060,n02398521/ILSVRC2012_val_00018354_n02398521,0,8.394683012738824,12.554735993035138,20.94941900577396
P3060,n02398521/ILSVRC2012_val_00018354_n02398521,1,8.246281067840755,12.535457033663988,20.781738101504743
P3060,n02398521/ILSVRC2012_val_00018354_n02398521,2,8.224484045058489,12.514438014477491,20.73892205953598
P4084,n02398521/ILSVRC2012_val_00018354_n02398521,0,8.38056392967701,12.465402018278837,20.845965947955847
P4084,n02398521/ILSVRC2012_val_00018354_n02398521,1,8.238073904067278,12.455363990738988,20.693437894806266
P4084,n02398521/ILSVRC2012_val_00018354_n02398521,2,8.227520971558988,12.421783059835434,20.649304031394422
P2048,n02951585/ILSVRC2012_val_00008336_n02951585,0,8.407064946368337,12.532559921965003,20.93962486833334
P2048,n02951585/ILSVRC2012_val_00008336_n02951585,1,8.226720965467393,12.51847401726991,20.745194982737303
P2048,n02951585/ILSVRC2012_val_00008336_n02951585,2,8.230844046920538,12.480396078899503,20.71124012582004
P3060,n02951585/ILSVRC2012_val_00008336_n02951585,0,8.394498960115016,12.549246079288423,20.94374503940344
P3060,n02951585/ILSVRC2012_val_00008336_n02951585,1,8.245286997407675,12.506837025284767,20.752124022692442
P3060,n02951585/ILSVRC2012_val_00008336_n02951585,2,8.218661998398602,12.511195032857358,20.72985703125596
P4084,n02951585/ILSVRC2012_val_00008336_n02951585,0,8.438042015768588,12.447113054804504,20.88515507057309
P4084,n02951585/ILSVRC2012_val_00008336_n02951585,1,8.235088898800313,12.426609988324344,20.661698887124658
P4084,n02951585/ILSVRC2012_val_00008336_n02951585,2,8.227530983276665,12.430192087776959,20.657723071053624
P2048,n03527444/ILSVRC2012_val_00035251_n03527444,0,8.347485912963748,12.547313934192061,20.89479984715581
P2048,n03527444/ILSVRC2012_val_00035251_n03527444,1,8.233188069425523,12.510005966760218,20.74319403618574
P2048,n03527444/ILSVRC2012_val_00035251_n03527444,2,8.222606033086777,12.490322929807007,20.712928962893784
P3060,n03527444/ILSVRC2012_val_00035251_n03527444,0,8.43434501439333,12.590145925059915,21.024490939453244
P3060,n03527444/ILSVRC2012_val_00035251_n03527444,1,8.26955703087151,12.50300498213619,20.7725620130077
P3060,n03527444/ILSVRC2012_val_00035251_n03527444,2,8.236218011006713,12.548294034786522,20.784512045793235
P4084,n03527444/ILSVRC2012_val_00035251_n03527444,0,8.399692014791071,12.457716977223754,20.857408992014825
P4084,n03527444/ILSVRC2012_val_00035251_n03527444,1,8.247129968367517,12.479380937293172,20.72651090566069
P4084,n03527444/ILSVRC2012_val_00035251_n03527444,2,8.24889400973916,12.433778028935194,20.682672038674355
P2048,n03929660/ILSVRC2012_val_00012300_n03929660,0,8.36235994938761,12.533252011053264,20.895611960440874
P2048,n03929660/ILSVRC2012_val_00012300_n03929660,1,8.233809028752148,12.557476060464978,20.791285089217126
P2048,n03929660/ILSVRC2012_val_00012300_n03929660,2,8.222043048590422,12.52645195927471,20.74849500786513
P3060,n03929660/ILSVRC2012_val_00012300_n03929660,0,8.398287929594517,12.542522978037596,20.940810907632113
P3060,n03929660/ILSVRC2012_val_00012300_n03929660,1,8.235282963141799,12.516380986198783,20.751663949340582
P3060,n03929660/ILSVRC2012_val_00012300_n03929660,2,8.211456006392837,12.55743601359427,20.768892019987106
P4084,n03929660/ILSVRC2012_val_00012300_n03929660,0,8.3947719540447,12.496112962253392,20.89088491629809
P4084,n03929660/ILSVRC2012_val_00012300_n03929660,1,8.250886923633516,12.433581985533237,20.684468909166753
P4084,n03929660/ILSVRC2012_val_00012300_n03929660,2,8.217516937293112,12.436994933523238,20.65451187081635
P2048,n04252077/ILSVRC2012_val_00012989_n04252077,0,8.43259901739657,12.52928504254669,20.96188405994326
P2048,n04252077/ILSVRC2012_val_00012989_n04252077,1,8.225274970754981,12.527932994998991,20.753207965753973
P2048,n04252077/ILSVRC2012_val_00012989_n04252077,2,8.209977997466922,12.504443991929293,20.714421989396214
P3060,n04252077/ILSVRC2012_val_00012989_n04252077,0,8.389543974772096,12.52347300760448,20.913016982376575
P3060,n04252077/ILSVRC2012_val_00012989_n04252077,1,8.228190010413527,12.533409055322409,20.761599065735936
P3060,n04252077/ILSVRC2012_val_00012989_n04252077,2,8.231549058109522,12.507816078141332,20.739365136250854
P4084,n04252077/ILSVRC2012_val_00012989_n04252077,0,8.42171092517674,12.473414069972932,20.895124995149672
P4084,n04252077/ILSVRC2012_val_00012989_n04252077,1,8.254577056504786,12.437005992978811,20.691583049483597
P4084,n04252077/ILSVRC2012_val_00012989_n04252077,2,8.239601971581578,12.507679057307541,20.74728102888912
P2048,n04560804/ILSVRC2012_val_00029830_n04560804,0,8.41445301193744,12.58074992801994,20.99520293995738
P2048,n04560804/ILSVRC2012_val_00029830_n04560804,1,8.256132947281003,12.515596929006279,20.77172987628728
P2048,n04560804/ILSVRC2012_val_00029830_n04560804,2,8.230488980188966,12.505952967330813,20.73644194751978
P3060,n04560804/ILSVRC2012_val_00029830_n04560804,0,8.366625988855958,12.599878944456577,20.966504933312535
P3060,n04560804/ILSVRC2012_val_00029830_n04560804,1,8.234846056438982,12.542029027827084,20.776875084266067
P3060,n04560804/ILSVRC2012_val_00029830_n04560804,2,8.243023999966681,12.523591984063387,20.766615984030068
P4084,n04560804/ILSVRC2012_val_00029830_n04560804,0,8.41635896358639,12.490537017583847,20.906895981170237
P4084,n04560804/ILSVRC2012_val_00029830_n04560804,1,8.27575393486768,12.443832005374134,20.719585940241814
P4084,n04560804/ILSVRC2012_val_00029830_n04560804,2,8.250008919276297,12.448042980395257,20.698051899671555
P2048,n15075141/ILSVRC2012_val_00005846_n15075141,0,8.391025010496378,12.53414899110794,20.92517400160432
P2048,n15075141/ILSVRC2012_val_00005846_n15075141,1,8.226217003539205,12.515492970123887,20.74170997366309
