method,source_index,source_id,preprocessing_id,snr_db,noise_seed,N,E,header_N,data_N,source_payload_bits,single_noise_max_abs_error,tx_sha256,rx_sha256,standard_noise_sha256,image_sha256
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2001,3060,6120.0,68,2992,1860,0.0,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,e0ce66eefa0cf595c87f4228d7cb835d3e0a0615b5d2b324fd8205c7a40526a6,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2001,3060,6120.0,94,2966,1562,0.0,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,c47b9e137821699515fcfa43badd44b71cb8efdfdbca0c67f79ceb4c3bd4160e,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
perceptual_deepjscc,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2001,3060,6119.999848479663,0,3060,,2.9880109408964017e-07,017ec15dd6159b8770a656789e69bd513fc47e25ff753d08e581425ba3b4f3cd,c7aad547670d7aabaabd5f5fa83f25b98bbba1dba48357a4df44ee5c7b261d78,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,250615c5b97b2c6c11dafa3322557510828b087eff6f9ccea1d2f462d142edc2
wetok_r3,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2001,3060,6120.000188920376,0,3060,,3.69809318279124e-07,dc710e222ddba04b50ab9902823071901a32b933a64c747b0ad9797bdc691903,f65170d8b0c002b88d7e7dd16c27293220074ca872e1505a4986fd227b6c84d0,ee85689517604ef38a5c34107562906d2d6acd61197f136ac5c7b24ea7700bbb,93af4ae843c5ca8819c4a1c37c908f514bccff8d668d60fa021fad5223471567
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2002,3060,6120.0,68,2992,1860,0.0,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,b97399d68b5c1db53408e4793419ad9c492e38c9f74f4bd55079c7b314a49891,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2002,3060,6120.0,94,2966,1562,0.0,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,9d130ff6231f00d080590ae3f12503251f56c57e67d09e968e2154f3686583bb,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
perceptual_deepjscc,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2002,3060,6119.999848479663,0,3060,,3.5994047209442215e-07,017ec15dd6159b8770a656789e69bd513fc47e25ff753d08e581425ba3b4f3cd,c34a16af071d5adcb48fe47655557bef2e1e5a320742ad54f439607459a490bb,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,db94354405e7bf51e4b40cd4ce2e0c4d3c521361793574b915ed2de9017bfb0e
wetok_r3,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2002,3060,6120.000188920376,0,3060,,4.107324524937894e-07,dc710e222ddba04b50ab9902823071901a32b933a64c747b0ad9797bdc691903,a04b62950e0a3199f972a08c3c9361cc6a58576db332dc34926770a0af584d8e,b6e45c91d7501275281636cfb8b7a2c601bd06200f3a05053a2a7fc6df9c0349,0b91aaac50e53cea83795be2aa4206eb255ccc6faf7ef8121c723a707caa6ffd
raw_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2003,3060,6120.0,68,2992,1860,0.0,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,0bb2d2ef4eab0183d44f54e55716899b2168afc3f1021f0848d2a4f046bf3209,c81ef1cac771a26cbcb719451572cd865b01a4bde7d78dab8cc53498ba2df4f5,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
arithmetic_adaptive,0,n01440764/ILSVRC2012_val_00003014_n01440764,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,1.0,2003,3060,6120.0,94,2966,1562,0.0,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,c192b6a92069a97423e4421ba9f6fadbcddc9f7aa5d8401d766cf2a41c176590,c81ef1cac771a26cbcb719451572cd865b01a4bde7d78dab8cc53498ba2df4f5,ed93ca25191d7cd5ba8af9de97a54848edc0b066de5b0bebc64d2ca1b84fae94
